sentiment,review
positive,"I admit to being a little skeptical because I don't really like sweet pretend-coffee drinks, but this was really good. I would definitely recommend it if you like Capp. You don't need to add milk or sweetner."
positive,But the truth is that I think it is bad for me. Nothing is real in it. I figure I will do better not adding it to my diet. I reluctantly am cancelling my subscription to it.
negative,"I ordered Grove Square K-cups - the cappuccino variety, for my Keurig BREWER. As with all of the other K-cup coffees I've purchased, I expected it to be filled with coffee for my Keurig to BREW. Unfortunately, it is filled with instant coffee and flavored with creamer and sweetners. It tastes HORRIBLE. I'm pitching the rest -it's not even worth donating to our church. If I'd wanted Sanka, I would not have purchased an expensive coffee brewer - the microwave would have been good enough! What I WANT is a cup of freshly brewed coffee. The product description did not disclose the fact that it is fake coffee. If a real cup of freshly brewed coffee is what you want from your Keurig brewer, DO NOT BUY THIS PRODUCT!"
negative,"I just tried this product for the first time this morning and was eager to do so. Boy, was I disappointed and disgusted! I tried with all my might to get through a fourth of the cup but I simply could not do it. This so-called cappuccino tasted greasy and overly sweet at the same time. I did not even know that was possible for a caffeine product. I would have rather had gas station cappuccino than this garbage. I wish there were a way for me to return the 22 K-Cups that are left but, sadly, they will just end up in the trash. What a waste of my hard-earned money."
negative,"I have tried several coffee k-cups. From Starbucks to Moonlight coffee...virtually every kcup<br />This coffee tastes more like chemicals. No wonder the price is so low.<br /><br />Do not buy this Coffee -- sorry to say !!! The worst coffee i ever bought and the biggest mistake i did that I bought several ones.... If anyone needs the chemical coffee , i am willing to sell it out for 50% less price"
negative,"Imagine yourself craving coffee. But you're on... a big ferry boat. With a single coffee vending machine. The kind that you wouldn't venture near if you had any choice in the matter. But you need a hot beverage, or the caffiene, or something warm to hold, whatever. So you bite. The paper cup shoots out of some recess in the machine, and a close approximation of coffee pours into said cup, with the familiar, but suspect aroma of vanilla in the air. Then you taste it - and yup, it's exactly as vending machine icky as you hoped it wouldn't be. You taste the artificial, and you learn to settle for it. Because you're stuck on a boat.<br /><br />Well, Grove Square Capuccino Cups, French Vanilla - are just a little better than that. A smidgen better, not much more.<br /><br />So if you aren't stuck on a ferry boat (or train station, or gas station, or local DMV waiting area or someplace equally dismal), and if you actually do have a choice, I would urge you to at least try before you buy. So you aren't stuck with 23 k-cups that make you cringe :)"
negative,"I was really excited to get this product, as an alternative to straight coffee, for my keurig. Sadly, not only am I disappointed that it is not frothy, as the picture on the box shows, but 1/4 of the box are defective k-cups. The edges of the foil on top are not sealed, so the cups contents have leaked and the machine does not function properly if you still try to use them. I feel that I definitely wasted my money."
negative,I was really disappointed with this instant coffee. YES. Instant coffee. They should have added stronger coffee and less creamer/sugar. Too mild and sweet for me.
negative,Very poor taste. So sweet that it makes you sick. This stuff is awful. Weak coffee...all you can taste is the sugar. Can't imagine anyone would actually like this stuff.
negative,Should have read more about the contents before ordering. I agree that more than Keurigs it tastes like the instant coffee that you get at rest stops. Really disappointed.
negative,"There was only one bad review, so I decided to ignore it because most of the reviews were favorable. What a mistake. It is really watery and the taste is not the same of the convenient stores. Waste of money. I will not recommend this product."
negative,"Defeats the purpose of K-cups. It just instant coffee, and much more expensive than normal instant coffee. Either get instant coffee cheaper, K-cups that have real coffee in them for more money or just brew regular coffee."
negative,I purchased this even after a few other reviewers mentioned that there is a fake sweetener taste thinking it would be ok but the taste is really overwhelming. If you are ok with drinking diet soda you will be ok with these. If not I would stay away. I keep trying to feed these to guest but with very poor luck :-).
negative,"In two words...awful and artificial. I didn't find any place I could find out what the ingredients were in this until after I got it and it tasted so weird. I know, I should have checked it out first, but I didn't even suspect artificial ingredients would be a concern. Anyway, it is non returnable but Amazon did refund my money for this because to us, it is not fit for consumption."
negative,"Read the label carefully, it's instant coffee, not the ground coffee as the other brands, no filter inside, and had partially hydrogenated oil in it, I returned it as hydrogenated oil is harmful and the coffee itself is kind of gas station quality."
positive,"This coffee beat our expectations. We bought it thinking we would try it out because of the cheap price, but found that the coffee is very good and hope to buy more at this amazing value!"
negative,I tried this and was disappointed. No coffee taste and artificial milk and sweetners. It does not really taste like a cup of cappuchino that you get in a store or restaurant---It is really an artificial made up blend ----stay away or try it at your own risk.
positive,"I love these K-cups they are wonderful. I have bought hazelnut, French Vanilla, Caramel and Caramel Apple Cider. I love<br />each one. They are absolutely terrific."
positive,I Have been ordering this k cup cappucino drink for awhile now and have never had a problem! Love it tastes good!
positive,Great price. Really love the the flavor. No need to add anything to this cappuccino to enhance the flavor. Really enjoyable anytime drink. This is a house hold favorite.
negative,It's silly to call this a Cappuccino. There is no coffee flavor whatsoever. I have even tried making this 1/2 and 1/2 with strong coffee. Still can't tolerate it.
negative,Thought it was coffee k cups we were purchasing but it is powdered drink mix. Read carefully before buying this brand.
positive,This is a product that we will use again as it was a quick way to create a drink that satisfied the need for a casual cup of refreshment.
positive,"I love this product, the taste is so rich and satisfying.<br />When your craving something sweet , this takes that edge off and only 80 calories!"
positive,"The flavor is rich, sweet and you do not need to add anything to it. It has sugar and cream already in it...just pour and enjoy it as is!"
positive,"I love this coffee. So far have only had the vanilla but going to try the others. It is like having a cappuccino in a coffee house. Try it, you'll love it."
positive,If you like flavored coffee these are a real treat! They are a great afternoon pick me upper and the price is right!
negative,I couldn't even finish the cup of this. It was extremely sweet and I could feel a cavity coming on! I'll be offloading the rest of this box...
positive,"This is my all time favorite k cup, so far ;) we are about 2 weeks into our first keurig and have been trying all sorts of flavors. this one is, by far, THE BEST! used a french/vanilla creamer with it also, made it even better."
positive,"I bought this item for an occasional treat but still have to find the right setting use to make it have that perfect flavor. The largest ""Travel Mug"" setting leaves the coffee too weak and the smallest ""coffee cup"" setting is too much and even the middle size isn't ""just right"" and sort of tastes like a ""lite"" cappaccino. I never thought I was hard to please but it seems like this has proven me wrong.<br />The price is pretty good so I can't complain on that note, but I guess I'm going to continue to drink this item and let it grow on me. As a now-and-then cup of cappaccino it's ok.<br />The 4 star rating is for the price and convenience of not traveling miles to get a cappaccino."
positive,"this product is hard to find for us in stores in ohio, most k cups are french vanilla coffee, not cappuccino, its delicious, will buy again for sure!"
negative,Tastes like melted plastic. I will not buy this ever again nor would I recommend it to anyone else. Ick!
positive,"This is not cappuccino flavored coffee like the one from Gloria Jean's, this is semisweet yummy real cappuccino. (Tastes like the cappuccino from gas station machines) Perfect just the way it's brewed, no sugar or creamer needed."
negative,I think half the cups were not filled or defective.<br />They seemed empty and the coffe came out like cream colored water. Yuck!
positive,I love cappuccino from the gas station. It is sweet and a good pick me up. This tastes just like that! I love love love it. French vanilla and caramel yum yum yummy too. I highly recommend this item for those who love the sweet gas station cappuccinos. I like it sweet and creamy and that is what this is.
positive,If you think nothing beats a great cup of cofee in the AM you need to try Grove City Square Cappuccino.Just a greaaat way to start the day.
negative,"Unfortunately these flavored Cappuccino's don't live up to the old Gloria Jean Cappuccino. They are all sugar and artificial flavoring. However, if you are fine with tons of sugar, artificial sugar and artificial flavors then this would be a very good product for you."
positive,I love this cappuccino. I have tried many others and this one is now the only one I buy. I wish I could find it in the stores around here but no not here. I love to sit down at night with my jammies on and my favorite book or TV show and just relax with my cappuccino!<br />A perfect end to the day.
positive,"My wife doesn't like standard coffee and has gotten used to the SBUX specialty drinks. While these cups aren't in the same league, they are still good with significantly less calories. Good taste, great price, good product."
positive,"French vanilla single serve cups by Grove Square for the Keurig K-cup brewers is my absolute favorite!<br />Every morning before I leave for the work-day drive, I brew a tall mug of the French vanilla with a cup of one of my favorite bold coffees. The cappuccino/bold coffee mix keeps me alert on my drive, and by the time I reach work, I am raring to get the job done. This is especially umm, umm good on these cool Fall mornings.<br />Pepper Miller<br />Greenville, SC"
positive,Great quality service and product every time !! Everyone should try Grove Square French Vanilla Cappuccino cups. The option for the 3 pack 18 count best fits my lifestyle.
negative,"Terrible flavor. Watery and weak. Does not compare to the supposedly similar Cafe Express brand of Chai Latte. DO NOT ORDER *YOU CAN NOT RETURN OR EXCHANGE FOR A BETTER PRODUCT*. You will not like this, that is why it is so inexpensive compared to regular coffee K-cups."
positive,"I tried Grove Square Cappuccino when I was in Washington state and enjoyed it tremendously. After returning to my home in Montana, I found it was unavailable here. I, then, ordered from Amazon and haven't been disappointed with the cappuccino or with Amazon.com. Thanks for a great product and a great price."
negative,The coffee taste is good but just too sweet for my liking. Also they seem to use instant coffee which can leave bad aftertaste.
positive,"It is a great tasting ""coffee"" but in fact it is more akin to a hot chocolate than a coffee. The flavor is coffee (not chocolate-y), but I noticed it didn't give me the pep as my other Kcups, so I decided to open one of the Cappuccino Kcups and noticed that (unlike my coffee Kcups) this was only a powdery mix - NOT ground coffee placed over a filter - the standard innards. If you are ok with the idea that this is a coffee equivalent of a hot chocolate powder mix, then this is a great tasting buy, with less pep than coffee."
negative,"First, it's not coffee. It's an instant powdered mix, which is completely disappointing. I was expecting flavored coffee, not instant mix in a small container. Kind of defeats the purpose doesn't it? I guess it's my fault for not having read the package? But no where in the product description does it indicate this is ""Instant Coffee"".<br /><br />I would never buy this product again. It smells wonderful, but tastes like what it is, and that's simply not good for someone looking for a cup of coffee."
negative,"Received cappuccino K cups from Grove Square, they were in a mailer box not even in the original box , I was unable to see nutrional value of any of the three types of coffee , it is super sweet, I am very disappointed and am stuck with $45.00 of K-cups."
positive,I had tried this Cappucino in a package of a variety of flavored coffees when I bought my Keurig coffeemaker<br />and really liked it. I still enjoy it and loved getting the packages mailed from Amazon. I have always had<br />wonderful service anytime I have ordered anything from Amazon. G. A. Bryson
negative,"I typically love vanilla cappuccino, and have tried many brands and was excited to try this. However I had to dump it out because of a Very Strong Artificial Sweetener taste. I also verified that low sugar or low calorie was not on the box. So something happened in packaging the product, or a very bad recipe. However I will not buy these again..."
positive,"I love this French Vanilla cappuccino! It is exactly what I was looking for to make in my Keurig. You see, I am NOT a coffee drinker so I am always on the look out for tea or other speacialty drinks to make in my Keurig. This would be similar to the Cafe Escapes Cafe Mocha and Chai Latte. It is a mix that fully emties when you run it through the Keuirg. A word of warning to the die hard coffee drinkers...this is not your Starbucks cappuccino. It's more like your gas station cappuccino, which was exactly what I was looking for. Great taste even on the largest cup setting on the Keurig platinum. My new favorite morning pleasure."
negative,"Ingredient: Partially Hydrogenated Vegetable Oil (may contain coconut, soybean, sunflower, palm and/or canola), Sugar, Corn Syrup Solids, Instant Coffee, Sodium Caseinate, Salt, Natural and Artificial Flavors, Cocoa (processed with alkali), Dipotassium Phosphate, Cornstarch, Mono- and Diglycerides, Silicon Dioxide, Soy Lecithin, Artificial Color,""Sucralose""."
negative,"This stuff tastes like the ""coffee"" you get from those vending machines at interstate gas stations or 7-11s. The first ingredient listed on the box is group of partially hydrogenated vegetable oils. Doesn't bode well for a supposed cappuccino. That's followed by multiple, seemingly random sweeteners, then instant coffee, a long list of other stuff that has no business associating itself with coffee, and then (inexplicably) sucralose, which gives it a strong artificially bitter aftertaste. I took 2 sips about 45 min ago, and still can't get the taste out of my mouth. Definitely avoid."
positive,"This was very different from what I originally expected it to be. That being said, I found this to be probably the best k-cup I have ever had. It is very creamy and has a great hazelnut flavor. I enjoy a cappucino once in a while and I love hazelnut coffee. I expected this to be more of cappucino with a light hazelnut flavor. That was not the case. This is like a creamy coffee/hazelnut flavored hot cocoa without the cocoa. I was expecting something completely different but ended up being pleasantly surprised. This is a great after dinner or mid day pick-me-up and this will now hold a permanent row or two in my revolving k-cup counter top display. If you want a real cappucino, this isn't for you. If you want a great tasting hot liquid sweet snack, get this. I liked this so much, I will be ordering the French vanilla version to give that a try as soon as I complete this review. Also, you cant beat the price....less than $10 delivered to my door. Wooooo Hooooo!"
positive,"This coffee is delicious. I would assume it's an instant blend, because the K-Cup is completely empty after usage. The caffeine content is low, so it's a great afternoon coffee that won't keep you up at night. If the price stays at 10 dollars with free shipping, it's a good deal. Once they raise the price though, I'm out of here."
positive,"Sure they are more like instant coffee than freshly ground, and there may even be some artificial sweeteners in there, but the truth is, they're delicious. And for those of you who don't want to put these things in your body, feel free to send them to me. I'm not that picky. I'm a healthy eater all day long, 2 cups of fakely sweetened, fake coffee a day isn't going to kill me. And if it does, so be it, a life without taste is a waste!"
negative,I was so excited to receive these K-cups and had one today. I wasn't very impressed. It tasted watered down and I had to add Stevia and sugar free creamer to make it taste half way decent to drink. I like a stronger tasting coffee and these just don't cut it. I'm giving both boxes to my daughter-in-law. I knew I should have ordered only one box to try first. Oh well...live and learn. I cancelled my subscribe and save too.
positive,"Grove Square Single Serve Cappuccino Cups, French Vanilla, K-Cups for Keurig Brewers, 24-Count<br /><br />I was concerned it would taste watered down, but I think this is delicious. The caramel flavor in this brand is excellent, too."
positive,"I purchased the Grove Square French Vanilla Cappuccino K-Cups not really expecting much for the price...Boy was I WRONG!!!! This cappucinno is absolutely delicious!!!! It tastes just like what I buy every morning at the gas station on my way to work...ONLY IT IS MUCH CHEAPER!!! It's also more convenient now that I can make it at home and not have to stop at the station to buy it! Makes my day a little smoother and I don't have to rush!<br />Yes, this K-cup is instant coffee, but so's the stuff I buy from the machine at the gas station! I love it! I love the price! I love the taste! I will make sure to keep this in stock at my house...especially if the price stays low!"
negative,Threw the entire box away. I thought I was buying Cappichino grade coffee not realizing it was a pre-mixed crappichino. Not only is it premixed but the main ingredients couldn't be more fake and gross. It's a k-cup full of preservatives......YUM.
positive,"Just love these and can pretend they are ""cocktails"". Most of my friends love them too. However, I prefer them a little less sweet, so I runn it through the Keurig twice. Tastes good to me and is cheaper."
positive,"Love this coffee especially because I don't have to do anything to it! It has the perfect amount of cream and sugar which is great for me because I have more time to get ready in the morning. Some people say it's gross because it is instant coffee and uses hydrogenated oil but it's super great-- plus you're saving money on cream and sugar! Also, I agree with the person who said it tasted like gas station coffee, but we must have different gas stations because everybody (myself include) loves the cappucinos at my gas station!"
negative,"It has that super sweet fake marshmallow in cereal taste. It's not great for coffe, but kids would probably love it. I was hoping to actually taste the hazelnut. All you taste is sweetness. It's an overload of the taste buds in all the worst ways. Day one was okay, then progressively it gets worse and worse until now I feel like I have to write a review about it and I don't usually write reviews."
negative,"Was not impressed with this product at all. In fact, it's just sitting in the pantry now. It might be possible to brew a cup of strong coffee, divide it two and then run cappuccino to add as a flavor."
positive,"I love Grove Square Cappuccino - especially the Caramel. It is wonderful to find a K-cup in yummy flavors that is not too acidy on my stomach (like the Emeril Big Bold Easy my husband drinks).<br />This product is difficult to find in stores; our Wal-Mart was constantly running out because it is so popular, so I am happy to find it on Amazon. This shipment was fast and the price is great. Thanks!"
positive,Ordered on Sunday and arrived on Monday. WOW. We will purchase again and maybe try a different flavor next time.
positive,"So I thought these were just regular cappuccino cups, when I got them, I saw the Hazelnut and thought oh boy....much to my surprise, they're very tasty! I've always been a hazelnut fan, but wow! They're very creamy and flavorful. So this will be a re-order when I need to re-stock on my cups, very pleased!!"
positive,This cappuccino tastes as good as any I have ever bought from a coffee shop. I love the french vanilla.
positive,"My husband is particular about his coffee. This has a good flavor and he loves it. It's definitely not traditional coffee though. This is instant and is like the cappuccino you get out of the machines at gas station rest-stops. As long as you're not expecting real coffee, it's great!"
positive,"This is not your Starbucks cappuccino, but your gas station cappuccino. Tastes just like what comes out of the machine at the gas station- if you like those, you'll love these K-Cups. They work great in the Keurig and the price is good."
positive,was very excited to find this product on here. buddy and i at work split the order because we were both hooked on it and couldn't find it at the store. very good tasting
positive,Great cappuccino and great buy! I have shopped the internet and Amazon has the best price! Would definitly recommend this product.
positive,"I love this coffee. It is wonderful, smoothe and just tastes great! I first tried it locally and loved it. Then, my store no longer planned to carry it so I bought all they had. When I found it on Amazon it was delightful. This is my coffee treat and the rest of the time it is hazelnut coffee, not capuccino."
positive,"for the price of this Cappuccino, I think it is very good, has a slight caramel taste, brews excellent in the Keurig. I will buy again this brand."
positive,"When I first got my kcup maker i went to walmart and found these kcups,For those who like a really nice creamy cappuccino hazelnut this is delicious. I would not recommend their reg coffee, but the hazel nut cappuccino is the best on the market nothing to add just make and enjoy but i recommend not to use more then 6oz.serving size to get the best flavor, using a larger amount will weaken the flavor very important!they also have vanilla cappuccino and carmel cappuccino which are both very good also."
positive,"Best hazelnut cappuccino k-cups I've tasted ... these have just the right amount of sweetness, smooth and creamy with a subtle taste of hazelnut ... absolutely awesome!"
positive,"I loved this and for a Weight Watcher is is so friendly, only 2 Points Plus. Have already ordered it it again and will continue to do so. <a href=""http://www.amazon.com/gp/product/B005K4Q34S"">Grove Square Cappuccino Cups, French Vanilla, Single Serve Cup for Keurig K-Cup Brewers, 12-Count (Pack of 3)</a>"
positive,"this capuccino is very smooth and tastes great. use the lower water amount for a richer, fuller flavor but i like it with 10 ounces of hot water. great alternative to very expensive store bought capuccino. french vanilla is excellent also"
positive,"This is an instant cappuccino similar to what I have bought in gas stations. It makes a medium size cup. It is very sweet and I like it for a change of pace. Just be aware, this is not coffee shop cappuccino."
positive,This is one of the most delicious coffees i have ever had. i have tried many different brands and this one get my thumbs up. If you love caramel you will love this coffee.
positive,"Great tasting coffee, very convenient, no mess, Great when you don't have time, because it's quick and easy, Plus you don't waste coffee, in the morning before work, if you can not finish a pot of coffee. I just wish they can come out with Irish Cream flavor, My Favorite Cappuccino.."
negative,"I am not a coffee snob, but I find this strong is very strong in flavor. I use the large cup selection on my maker and combine it with a cup of regular coffee. I think it might be ok over ice."
